date,city,orders_delivered,potential,active_restaurants,daily_online_restaurants,daily_opening_hours,delivery_area_km2,order_distance_km,order_assign_to_restaurant_distance_km,order_restaurant_to_customer_distance_km,order_handling_time_mins,assign_time_mins,total_time_mins,working_hours,delivery_rating,delivery_time_target
2022-01-15,Munich,4010,4448,554,600,13.5,154.2,3.72,0.65,3.07,16.5,4.6,21.1,1758.4,3.9,30
2022-01-16,Munich,4303,5092,545,602,13.5,155.3,4.05,0.9,3.15,19.2,5.4,24.6,1949.5,3.5,30
2022-01-17,Munich,3661,4121,558,598,11.5,154.9,3.16,0.76,2.4,20.8,5.9,26.7,1771.8,3.4,30
2022-01-18,Munich,3569,4442,558,602,11.5,154.6,3.11,1.03,2.08,19.4,5.5,24.9,1633.9,3.5,30
2022-01-19,Munich,3531,4163,559,603,11.5,154.7,3.39,0.71,2.68,18.6,5.3,23.9,1561.6,3.6,30
2022-01-20,Munich,3671,4342,548,604,11.5,155.4,3.9,1.14,2.76,21,5.9,26.9,1662,3.4,30
2022-01-21,Munich,4285,5296,525,596,13.5,155.1,2.84,0.86,1.98,18,5.1,23.1,2066.6,3.8,30
2022-01-22,Munich,4320,5156,545,600,13.5,155,3.62,0.72,2.9,18.3,5.1,23.4,1968.4,3.6,30
2022-01-23,Munich,3848,4407,557,597,13.5,155.1,2.69,0.86,1.83,19,5.4,24.4,1760.5,3.6,30
2022-01-24,Munich,3448,3945,531,596,11.5,155.5,3.33,0.85,2.48,17.8,5,22.8,1535,3.6,30
2022-01-25,Munich,3166,3720,564,601,11.5,155,3.12,0.86,2.26,19.2,5.4,24.6,1541.8,3.5,30
2022-01-26,Munich,3357,4129,557,600,11.5,155,3.79,0.95,2.84,17,4.8,21.8,1519.1,3.8,30
2022-01-27,Munich,3364,4101,554,601,11.5,155.6,3.15,0.91,2.24,17.4,4.9,22.3,1675.1,3.7,30
2022-01-28,Munich,3915,4871,554,602,13.5,154.8,3.65,0.69,2.96,17,4.8,21.8,1772.4,3.8,30
2022-01-29,Munich,3816,4238,551,603,13.5,155.3,3.27,0.64,2.63,20.1,5.7,25.8,1667.7,3.4,30
2022-01-30,Munich,3703,4222,554,601,13.5,154.7,3.95,1.04,2.91,17.9,5.1,23,1804.3,3.7,30
2022-01-31,Munich,3247,3610,549,607,11.5,154.8,4.13,0.94,3.19,17.7,5,22.7,1551.1,3.8,30
2022-02-01,Munich,3301,4002,560,602,11.5,154.9,3.57,0.82,2.75,16.5,4.6,21.1,1517.8,3.7,30
2022-02-02,Munich,3374,3782,557,605,11.5,155.3,4.27,1.09,3.18,17,4.8,21.8,1520,3.9,30
2022-02-03,Munich,3105,3462,552,596,11.5,155.6,2.67,0.83,1.84,18,5.1,23.1,1476.2,3.6,30
2022-02-04,Munich,3815,4517,560,604,13.5,155,3.35,1.08,2.27,16.6,4.7,21.3,1734.7,3.8,30
2022-02-05,Munich,3745,4350,532,601,13.5,154.3,2.73,0.78,1.95,18.4,5.2,23.6,1649.9,3.6,30
2022-02-06,Munich,3776,4558,527,597,13.5,155.3,2.81,0.64,2.17,18.2,5.1,23.3,1702.5,3.6,30
2022-02-07,Munich,3266,3831,558,602,11.5,156.2,4.13,1.16,2.97,19.3,5.5,24.8,1475.6,3.5,30
2022-02-08,Munich,3132,3645,538,601,11.5,155.1,2.69,0.84,1.85,19,5.3,24.3,1481.1,3.5,30
2022-02-09,Munich,3117,3627,551,603,11.5,154.1,3.61,1.08,2.53,18.1,5.1,23.2,1371.1,3.6,30
2022-02-10,Munich,3279,4035,547,604,11.5,155.1,3.36,0.77,2.59,17.2,4.9,22.1,1574,3.8,30
2022-02-11,Munich,3885,4503,527,599,13.5,155,3.58,0.99,2.59,19.2,5.4,24.6,1884.5,3.5,30
2022-02-12,Munich,4355,5008,532,604,13.5,155,3.59,1.12,2.47,20.3,5.7,26,2064.7,3.4,30
2022-02-13,Munich,4254,4895,559,602,13.5,155.5,3.53,0.62,2.91,18,5.1,23.1,1938,3.7,30
2022-02-14,Munich,3809,4302,553,604,11.5,155.7,3.09,1.1,1.99,21.1,6,27.1,1686.5,3.3,30
2022-02-15,Munich,3681,4524,547,601,11.5,155.3,3.17,0.94,2.23,17.6,5,22.6,1804.7,3.7,30
2022-02-16,Munich,3918,4395,562,601,11.5,154.9,3.62,0.96,2.66,17.6,5,22.6,1745.9,3.7,30
2022-02-17,Munich,3696,4569,536,602,11.5,155.6,3.68,0.91,2.77,18.2,5.1,23.3,1647.2,3.6,30
2022-02-18,Munich,4086,4668,539,602,13.5,154.3,3.49,1.12,2.37,21.1,6,27.1,1877.7,3.4,30
2022-02-19,Munich,3602,4448,556,601,13.5,154.6,3.66,0.63,3.03,18.4,5.2,23.6,1616.6,3.7,30
2022-02-20,Munich,3902,4755,556,601,13.5,154.7,3.14,0.76,2.38,19.4,5.5,24.9,1899.2,3.5,30
2022-02-21,Munich,3330,3953,542,600,11.5,155,3.49,1.13,2.36,17.2,4.9,22.1,1623.7,3.7,30
2022-02-22,Munich,3121,3746,563,601,11.5,155.3,2.9,1.05,1.85,18.3,5.2,23.5,1381.7,3.6,30
2022-02-23,Munich,3410,3917,565,604,11.5,154.9,3.18,0.61,2.57,17.8,5,22.8,1586.5,3.6,30
2022-02-24,Munich,3366,3992,530,602,11.5,154.5,3.7,0.91,2.79,19.6,5.5,25.1,1623.1,3.5,30
2022-02-25,Munich,3861,4416,537,604,13.5,155.5,2.88,0.92,1.96,16.5,4.6,21.1,1749.7,3.7,30
2022-02-26,Munich,4373,5074,559,602,13.5,154.9,3.07,0.84,2.23,18.4,5.2,23.6,1928.5,3.5,30
2022-02-27,Munich,4409,5355,539,599,13.5,155.1,3.67,0.78,2.89,18,5.1,23.1,2013.5,3.6,30
2022-02-28,Munich,3868,4396,534,604,11.5,155.3,3.32,1.01,2.31,20.9,5.9,26.8,1838.2,3.4,30
2022-03-01,Munich,3748,4594,557,601,11.5,155,2.86,0.72,2.14,19.3,5.4,24.7,1747.3,3.6,30
2022-03-02,Munich,3698,4276,546,602,11.5,155,3.82,1.08,2.74,19,5.4,24.4,1661.5,3.6,30
2022-03-03,Munich,3747,4420,550,605,11.5,155.5,3.16,1.08,2.08,19.2,5.4,24.6,1854.7,3.6,30
2022-03-04,Munich,4373,5428,534,600,13.5,155.1,3.9,0.85,3.05,21.4,6,27.4,2117.5,3.4,30
2022-03-05,Munich,4412,5304,554,603,13.5,155.4,2.72,0.77,1.95,20.9,5.9,26.8,2062.9,3.3,30
2022-03-06,Munich,3682,4406,550,603,13.5,155.3,3.56,0.77,2.79,19.1,5.4,24.5,1688,3.5,30
2022-03-07,Munich,3231,3898,539,604,11.5,156,3.39,0.89,2.5,17.6,5,22.5,1537.3,3.7,30
2022-03-08,Munich,3246,4017,544,605,11.5,155.2,4.05,1.03,3.02,17,4.8,21.8,1553.5,3.7,30
2022-03-09,Munich,3192,3630,552,603,11.5,155.3,2.8,0.82,1.98,20,5.6,25.6,1586.2,3.5,30
2022-03-10,Munich,3278,3907,563,602,11.5,155.6,3.72,0.97,2.75,18,5.1,23.1,1631,3.7,30
2022-03-11,Munich,4032,4677,564,604,13.5,155,3.43,0.83,2.6,17.5,4.9,22.4,1935.1,3.7,30
2022-03-12,Munich,3853,4245,543,606,13.5,154.7,3.25,0.78,2.47,18.3,5.1,23.4,1784.5,3.6,30
2022-03-13,Munich,3909,4373,557,603,13.5,154.8,3.1,0.61,2.49,20,5.6,25.6,1804,3.4,30
2022-03-14,Munich,3360,3859,558,603,11.5,154.8,3.41,0.6,2.81,17.9,5,22.9,1564.1,3.6,30
2022-03-15,Munich,3216,3810,560,604,11.5,154.5,3.85,0.74,3.11,18.6,5.2,23.8,1514.9,3.6,30
2022-03-16,Munich,3111,3833,551,603,11.5,155.2,2.77,0.84,1.93,19.5,5.5,25,1498.8,3.5,30
2022-03-17,Munich,3261,3974,529,601,11.5,154.7,2.94,1.11,1.83,18,5.1,23.1,1538.1,3.7,30
2022-03-18,Munich,3619,4281,559,604,13.5,155.1,4.01,1.08,2.93,17.3,4.9,22.2,1772.6,3.8,30
2022-03-19,Munich,3610,4011,532,601,13.5,154.9,2.71,0.76,1.95,20.3,5.7,26,1774.3,3.5,30
2022-03-20,Munich,3873,4426,535,604,13.5,155,3.93,0.75,3.18,20.1,5.7,25.8,1853.1,3.5,30
2022-03-21,Munich,2965,3424,551,602,11.5,155.3,3.41,0.74,2.67,19.7,5.5,25.2,1289.9,3.5,30
2022-03-22,Munich,3068,3660,567,604,11.5,154.7,3.51,0.8,2.71,19,5.4,24.4,1462.4,3.6,30
2022-03-23,Munich,3161,3507,540,604,11.5,155.3,2.98,0.9,2.08,17.6,5,22.5,1385.8,3.7,30
2022-03-24,Munich,3607,4254,559,609,11.5,155.8,3,0.86,2.14,21.1,6,27.1,1703.3,3.3,30
2022-03-25,Munich,4305,5317,543,605,13.5,155.2,3.45,0.73,2.72,18.5,5.2,23.7,2019.5,3.6,30
2022-03-26,Munich,4431,5342,565,606,13.5,154.6,3.75,0.68,3.07,20.7,5.8,26.5,1978.9,3.4,30
2022-03-27,Munich,4343,5296,555,607,13.5,154.7,3.79,0.61,3.18,21.1,6,27.1,2141.4,3.4,30
2022-03-28,Munich,3596,4323,539,605,11.5,154.9,2.77,0.69,2.08,19.9,5.6,25.5,1750.1,3.5,30
2022-03-29,Munich,3815,4314,541,604,11.5,154.7,3.01,1.02,1.99,20.7,5.8,26.5,1664.4,3.4,30
2022-03-30,Munich,3537,3949,545,602,11.5,154.5,2.63,0.75,1.88,20.7,5.8,26.5,1643.8,3.4,30
2022-03-31,Munich,3222,3945,535,604,11.5,155.1,3.9,0.88,3.02,17.2,4.8,22,1600.4,3.7,30
2022-04-01,Munich,3685,4437,533,603,13.5,154.9,3.16,0.95,2.21,19,5.3,24.3,1829.5,3.6,30
2022-04-02,Munich,3865,4584,555,603,13.5,155.1,2.93,1.13,1.8,16.8,4.7,21.5,1701,3.8,30
2022-04-03,Munich,3808,4296,549,608,13.5,155.6,3.24,1.13,2.11,18.3,5.2,23.5,1683.5,3.6,30
2022-04-04,Munich,3308,3938,557,604,11.5,154.9,3.33,1.05,2.28,17,4.8,21.8,1547.6,3.6,30
2022-04-05,Munich,3272,3614,533,602,11.5,154.4,3.81,0.62,3.19,18,5.1,23.1,1596.9,3.7,30
2022-04-06,Munich,3141,3511,556,607,11.5,154.8,3.48,0.95,2.53,19.7,5.5,25.2,1396.6,3.5,30
2022-04-07,Munich,3122,3580,549,606,11.5,155.4,3.16,1.07,2.09,20.2,5.7,25.9,1488.5,3.5,30
2022-04-08,Munich,3808,4442,535,606,13.5,155.3,2.88,0.61,2.27,17.6,5,22.6,1791.4,3.6,30
2022-04-09,Munich,4027,4502,547,600,13.5,155.3,3.19,0.93,2.26,18.5,5.2,23.7,1826.5,3.5,30
2022-04-10,Munich,4001,4473,538,608,13.5,154.7,2.94,1.11,1.83,18.4,5.2,23.6,1899.8,3.7,30
2022-04-11,Munich,3103,3751,560,603,11.5,155.4,2.87,0.88,1.99,20.1,5.7,25.8,1417.8,3.4,30
2022-04-12,Munich,3280,3888,556,606,11.5,155.5,3.37,0.6,2.77,18.3,5.1,23.4,1447.7,3.7,30
2022-04-13,Munich,3026,3570,557,610,11.5,154.7,2.58,0.61,1.97,19.1,5.4,24.5,1351.4,3.5,30
2022-04-14,Munich,3155,3684,540,609,11.5,155,2.97,0.85,2.12,20,5.6,25.6,1492.1,3.4,30
2022-04-15,Munich,3747,4670,541,603,13.5,156,2.98,0.69,2.29,17.9,5,22.9,1795.9,3.7,30
2022-04-16,Munich,3946,4370,547,602,13.5,154.6,3.86,1,2.86,19.9,5.6,25.5,1892,3.5,30
2022-04-17,Munich,3710,4181,558,608,13.5,154.1,3.65,1.03,2.62,20,5.6,25.6,1762.8,3.5,30
2022-04-18,Munich,3242,3881,539,605,11.5,155.7,3.47,0.71,2.76,20,5.7,25.7,1509.3,3.5,30
2022-04-19,Munich,3200,3585,531,604,11.5,155.6,3.72,1.13,2.59,17.5,4.9,22.4,1505.9,3.7,30
2022-04-20,Munich,3182,3781,545,606,11.5,154.8,3.63,0.87,2.76,17.9,5.1,23,1559.9,3.6,30
2022-04-21,Munich,3367,3990,549,605,11.5,154.9,2.49,0.69,1.8,19.8,5.6,25.4,1643.2,3.5,30
2022-04-22,Munich,4015,5001,539,606,13.5,154.4,4.16,1.06,3.1,17.8,5,22.8,1909.3,3.6,30
2022-04-23,Munich,3825,4714,550,605,13.5,155,3.03,1.07,1.96,18.7,5.3,24,1763.8,3.6,30
2022-04-24,Munich,3805,4725,546,607,13.5,155.6,3.35,0.98,2.37,16.8,4.8,21.6,1747.2,3.8,30
2022-04-25,Munich,3049,3405,547,603,11.5,154.7,3.99,1.11,2.88,16.6,4.7,21.3,1420.9,3.8,30
2022-04-26,Munich,3199,3935,547,608,11.5,155.4,3.45,1.04,2.41,18,5.1,23.1,1439.9,3.6,30
2022-04-27,Munich,3395,3800,557,607,11.5,155.2,4.26,1.13,3.13,18.6,5.3,23.9,1528.5,3.6,30
2022-04-28,Munich,3187,3808,535,607,11.5,155.3,3.31,0.86,2.45,17.9,5.1,23,1497.4,3.7,30
2022-04-29,Munich,3912,4725,536,603,13.5,154.8,4.07,1.05,3.02,18.6,5.3,23.9,1920.2,3.5,30
2022-04-30,Munich,4180,4698,551,609,13.5,154.8,4.14,1.2,2.94,19.5,5.5,25,1936,3.5,30
2022-05-01,Munich,4916,5874,545,605,13.5,154.1,4.2,1.03,3.17,20.2,5.7,25.9,2325,3.5,30
2022-05-02,Munich,3726,4127,548,607,11.5,154.7,3.77,0.67,3.1,20,5.7,25.7,1825.2,3.4,30
2022-05-03,Munich,3690,4221,561,605,11.5,155.6,3.97,0.91,3.06,19.1,5.4,24.5,1608.2,3.6,30
2022-05-04,Munich,3762,4658,565,606,11.5,154.5,3.77,0.95,2.82,19.1,5.4,24.5,1782.2,3.6,30
2022-05-05,Munich,3619,4074,542,0,11.5,154.6,3.01,0.7,2.31,17.9,5.1,23,1654.2,3.6,30
2022-05-06,Munich,4145,4600,558,600,13.5,155.3,3.13,1.18,1.95,19.5,5.5,25,1930.6,3.4,30
2022-05-07,Munich,4432,5170,550,607,13.5,155.2,3.47,0.71,2.76,19.8,5.6,25.4,2169.5,3.5,30
2022-05-08,Munich,4226,5187,546,610,13.5,155.3,3.88,0.71,3.17,19.3,5.5,24.8,2095.5,3.5,30
2022-05-09,Munich,3730,4145,570,607,11.5,154.4,3.97,1.15,2.82,18.7,5.3,24,1705,3.5,30
2022-05-10,Munich,3725,4296,561,604,11.5,156.3,3.98,0.88,3.1,20.4,5.7,26.1,1796,3.4,30
2022-05-11,Munich,3513,4338,570,607,11.5,154.4,3.57,0.64,2.93,17.7,5,22.7,1694.6,3.6,30
2022-05-12,Munich,3304,3692,541,608,11.5,155.1,2.99,0.96,2.03,20,5.6,25.6,1444.6,3.5,30
2022-05-13,Munich,3783,4337,539,607,13.5,154.9,3.11,0.96,2.15,16.5,4.6,21.1,1769,3.7,30
2022-05-14,Munich,3845,4678,551,606,13.5,154.4,2.92,0.64,2.28,20.1,5.7,25.8,1914.1,3.4,30
2022-05-15,Munich,3804,4494,556,606,13.5,154.8,3.22,1.18,2.04,18.2,5.1,23.3,1809.7,3.7,30
2022-05-16,Munich,3362,4117,539,606,11.5,155,3.54,0.93,2.61,18,5.1,23.1,1545.5,3.6,30
2022-05-17,Munich,3334,3723,566,608,11.5,154.7,4.11,0.94,3.17,17.4,4.9,22.3,1588.7,3.7,30
2022-05-18,Munich,3018,3736,550,604,11.5,155.5,3.78,0.91,2.87,16.5,4.6,21.1,1502.9,3.8,30
2022-05-19,Munich,3425,4247,548,606,11.5,154.9,3.36,0.97,2.39,17.5,4.9,22.4,1605.5,3.7,30
2022-05-20,Munich,3772,4237,558,610,13.5,154.3,2.57,0.76,1.81,16.8,4.7,21.5,1856.5,3.8,30
2022-05-21,Munich,4050,4475,560,610,13.5,154.3,3.01,0.77,2.24,19,5.3,24.3,1852.9,3.6,30
2022-05-22,Munich,3814,4761,533,604,13.5,155.3,3.45,0.91,2.54,17.6,5,22.6,1744.8,3.7,30
2022-05-23,Munich,3165,3710,567,604,11.5,154.3,3.33,1.08,2.25,19.3,5.5,24.8,1573.6,3.6,30
2022-05-24,Munich,3175,3764,546,606,11.5,155.2,2.59,0.63,1.96,17.2,4.8,22,1521.2,3.7,30
2022-05-25,Munich,3159,3766,537,608,11.5,155.2,3.38,0.96,2.42,19.9,5.6,25.5,1487.2,3.4,30
2022-05-26,Munich,3452,4206,561,603,11.5,154.5,3.23,1.08,2.15,18.4,5.2,23.6,1594.4,3.6,30
2022-05-27,Munich,3832,4681,570,607,13.5,155.4,3.76,0.69,3.07,16.8,4.8,21.6,1834.5,3.7,30
2022-05-28,Munich,4929,5565,562,606,13.5,154.1,2.55,0.61,1.94,20.4,5.8,26.2,2362.5,3.5,30
2022-05-29,Munich,3847,4368,567,610,13.5,155.1,2.66,0.79,1.87,17.2,4.8,22,1676.3,3.8,30
2022-05-30,Munich,3103,3821,554,604,11.5,155,2.76,0.95,1.81,17.2,4.8,22,1541.8,3.7,30
2022-05-31,Munich,3359,4107,567,607,11.5,154.9,2.94,0.68,2.26,18.3,5.2,23.5,1462.5,3.5,30
2022-06-01,Munich,3052,3639,534,606,11.5,154.4,3.58,0.86,2.72,19,5.4,24.4,1515.1,3.6,30
2022-06-02,Munich,3138,3920,564,610,11.5,154.5,3.75,0.93,2.82,20,5.6,25.6,1504,3.5,30
2022-06-03,Munich,3933,4760,559,608,13.5,155.8,3.39,0.96,2.43,18.3,5.2,23.5,1830.9,3.6,30
2022-06-04,Munich,3844,4352,535,606,13.5,155.6,3.52,0.76,2.76,20.1,5.7,25.8,1881.6,3.4,30
2022-06-05,Munich,3894,4777,555,609,13.5,155.4,3.14,0.84,2.3,20,5.7,25.7,1908.4,3.4,30
2022-06-06,Munich,3353,3896,552,607,11.5,155.5,3.8,1.07,2.73,19.7,5.6,25.3,1614.4,3.5,30
2022-06-07,Munich,3300,3647,561,609,11.5,155.4,3.02,1.16,1.86,18.3,5.2,23.5,1439.8,3.7,30
2022-06-08,Munich,3213,3689,536,607,11.5,154.8,3.47,1.12,2.35,16.9,4.8,21.7,1519.8,3.7,30
2022-06-09,Munich,3408,4139,566,610,11.5,155,3.85,0.94,2.91,17.2,4.9,22.1,1570.7,3.7,30
2022-06-10,Munich,3777,4698,540,608,13.5,154.3,3.77,0.85,2.92,18.9,5.3,24.2,1708.1,3.6,30
2022-06-11,Munich,3829,4370,555,614,13.5,155,3.6,0.8,2.8,18,5.1,23.1,1722.7,3.6,30
2022-06-12,Munich,3836,4361,566,607,13.5,155.6,2.76,0.67,2.09,16.9,4.8,21.7,1738.6,3.7,30
2022-06-13,Munich,3189,3777,555,608,11.5,154.7,2.81,0.66,2.15,18.3,5.1,23.4,1517.8,3.6,30
2022-06-14,Munich,3093,3778,547,607,11.5,155.5,4.2,1.01,3.19,16.5,4.6,21.1,1521,3.8,30
2022-06-15,Munich,3041,3685,536,608,11.5,155,2.7,0.76,1.94,19.3,5.4,24.7,1458.9,3.5,30
2022-06-16,Munich,3241,3837,554,602,11.5,154.3,2.8,0.75,2.05,16.7,4.7,21.4,1570.9,3.8,30
2022-06-17,Munich,3776,4511,571,609,13.5,154.4,3.18,1.2,1.98,18.8,5.3,24.1,1850.2,3.7,30
2022-06-18,Munich,4030,4579,571,611,13.5,155.5,2.97,0.71,2.26,19.5,5.5,25,2007.6,3.5,30
2022-06-19,Munich,3832,4463,562,609,13.5,155.3,2.78,0.69,2.09,16.9,4.8,21.7,1680.2,3.7,30
2022-06-20,Munich,3174,3612,536,605,11.5,155.1,3.16,0.66,2.5,18.4,5.2,23.6,1394.4,3.6,30
2022-06-21,Munich,3309,4078,541,606,11.5,154.9,3.42,0.95,2.47,19.4,5.5,24.9,1642.1,3.5,30
2022-06-22,Munich,3240,3618,537,603,11.5,155.1,4.04,0.98,3.06,17.4,4.9,22.3,1579,3.8,30
2022-06-23,Munich,3182,3824,549,610,11.5,155.4,2.67,0.82,1.85,17,4.8,21.8,1558.4,3.8,30
2022-06-24,Munich,3775,4299,541,606,13.5,155.7,3.17,0.92,2.25,17.7,5,22.7,1811.1,3.6,30
2022-06-25,Munich,4205,4925,543,608,13.5,155.8,3.71,1.07,2.64,18.6,5.2,23.8,2040.1,3.6,30
2022-06-26,Munich,3876,4437,557,608,13.5,155.2,3.74,1.09,2.65,18.6,5.3,23.9,1697.2,3.7,30
2022-06-27,Munich,3308,3799,549,611,11.5,154.9,3.64,1.17,2.47,16.9,4.8,21.7,1633.4,3.7,30
2022-06-28,Munich,3097,3527,560,609,11.5,155.1,4.03,1.09,2.94,18.2,5.1,23.3,1500.8,3.6,30
2022-06-29,Munich,3142,3810,571,610,11.5,155.3,2.83,0.94,1.89,17.4,4.9,22.3,1552.2,3.8,30
2022-06-30,Munich,3411,3939,560,610,11.5,155.3,3.65,0.71,2.94,19.7,5.5,25.2,1486.8,3.4,30
2022-07-01,Munich,3979,4810,565,611,13.5,155.7,3.15,0.66,2.49,17.6,5,22.6,1748.6,3.8,30
2022-07-02,Munich,3898,4554,564,610,13.5,156.4,2.62,0.63,1.99,19.7,5.5,25.2,1759.8,3.5,30
2022-07-03,Munich,3827,4523,554,616,13.5,155.6,4.04,1,3.04,18.1,5.1,23.2,1798.6,3.7,30
2022-07-04,Munich,3208,3790,537,610,11.5,157.1,3.81,1.09,2.72,19.3,5.4,24.7,1559.5,3.5,30
2022-07-05,Munich,3174,3956,544,617,11.5,156.9,2.95,0.91,2.04,18.4,5.2,23.6,1536,3.6,30
2022-07-06,Munich,3136,3622,551,615,11.5,156.6,2.5,0.64,1.86,18.8,5.3,24.1,1470.3,3.5,30
2022-07-07,Munich,3355,3795,569,618,11.5,157.7,2.94,0.93,2.01,17.9,5.1,23,1504.2,3.7,30
2022-07-08,Munich,3982,4924,581,622,13.5,158.1,3.84,1.17,2.67,19.4,5.5,24.9,1915,3.5,30
2022-07-09,Munich,4014,4520,584,623,13.5,157.4,3.04,0.97,2.07,18.1,5.1,23.2,1917.6,3.7,30
2022-07-10,Munich,3919,4801,550,625,13.5,158.8,3.23,1.09,2.14,18.3,5.1,23.4,1797.7,3.5,30
2022-07-11,Munich,3330,3738,585,623,11.5,158.8,2.95,1.09,1.86,18.5,5.2,23.7,1607.7,3.6,30
2022-07-12,Munich,3272,3922,566,630,11.5,159.8,4.01,1.17,2.84,19.7,5.5,25.2,1504.2,3.5,30
2022-07-13,Munich,3253,3651,583,627,11.5,158.7,4.03,1.07,2.96,19,5.4,24.4,1537.2,3.6,30
2022-07-14,Munich,3503,4338,560,629,11.5,159.1,4.01,1.06,2.95,17.8,5,22.8,1742.5,3.6,30
2022-07-15,Munich,4028,4772,559,633,13.5,158.6,2.76,0.75,2.01,19.1,5.4,24.5,1899.3,3.5,30
2022-07-16,Munich,4079,4688,571,633,13.5,160.2,3.75,0.65,3.1,19,5.3,24.3,1792.3,3.6,30
2022-07-17,Munich,4125,4624,592,636,13.5,160.4,3.71,0.93,2.78,20.1,5.7,25.8,1975.6,3.5,30
2022-07-18,Munich,3391,3918,565,633,11.5,160.3,3.79,0.69,3.1,19.7,5.6,25.3,1617.2,3.6,30
2022-07-19,Munich,3412,4114,569,640,11.5,160.9,3.67,1.2,2.47,19,5.4,24.4,1689.3,3.5,30
2022-07-20,Munich,3290,3808,599,641,11.5,160.6,3.25,0.79,2.46,17.8,5,22.8,1506.1,3.6,30
2022-07-21,Munich,3320,3774,600,641,11.5,162.2,4.07,1.13,2.94,19.6,5.5,25.1,1472.4,3.4,30
2022-07-22,Munich,4009,4757,563,640,13.5,161.6,2.83,0.85,1.98,18.7,5.3,24,1903.7,3.6,30
2022-07-23,Munich,4177,4856,595,645,13.5,163.8,3.4,0.82,2.58,20.4,5.7,26.1,2015.9,3.5,30
2022-07-24,Munich,4136,4652,581,647,13.5,162.5,4.2,1.18,3.02,17.5,4.9,22.4,1808.5,3.6,30
2022-07-25,Munich,3362,3775,584,648,11.5,162.5,3.86,0.84,3.02,16.8,4.8,21.6,1512,3.8,30
2022-07-26,Munich,3520,4245,587,647,11.5,163,4.06,0.86,3.2,16.8,4.7,21.5,1622,3.8,30
2022-07-27,Munich,3527,4395,594,656,11.5,162.8,3.53,0.69,2.84,19,5.4,24.4,1686.2,3.6,30
2022-07-28,Munich,3413,3873,594,653,11.5,164.1,3.18,1.03,2.15,20.2,5.7,25.9,1651.8,3.5,30
2022-07-29,Munich,4713,5730,599,655,13.5,164,2.69,0.8,1.89,17.6,5,22.5,2128,3.6,30
2022-07-30,Munich,4785,5326,592,653,13.5,165.1,3.52,0.98,2.54,20.5,5.8,26.3,2218.8,3.5,30
2022-07-31,Munich,4659,5391,610,662,13.5,164.7,3.57,0.98,2.59,20.3,5.7,26,2160.8,3.4,30
2022-08-01,Munich,4110,4833,609,660,11.5,165.9,3.27,1.06,2.21,20.6,5.8,26.4,2032.5,3.5,30
2022-08-02,Munich,4096,4670,600,663,11.5,165.9,3.13,1.08,2.05,19,5.4,24.4,1901.9,3.6,30
2022-08-03,Munich,3978,4691,592,667,11.5,165.8,3.64,0.94,2.7,21,5.9,26.9,1770.5,3.3,30
2022-08-04,Munich,4112,5067,610,665,11.5,166.9,3.78,0.83,2.95,17.7,5,22.7,1800.3,3.7,30
2022-08-05,Munich,4317,5360,620,670,13.5,167,4.41,1.14,3.27,19.6,5.5,25.1,2124.5,3.5,30
2022-08-06,Munich,4230,4716,610,665,13.5,168.3,3.76,0.82,2.94,17.6,5,22.6,1932.1,3.7,30
